M,K,N,Command,Instructions,L1 Cache Misses,L2 Cache Misses,L3 Cache Misses,Elapsed Time
32,170,300,pthread_blis,52953806,123104,61147,21281,0.017807398
32,170,300,para_blis,81310913,119001,5271,8131,0.029199600
32,170,350,blis,7734827,21373,9364,<not,0.003184800
32,170,350,pool_blis,69098800,1770538,1666578,66215,0.077152016
32,170,350,pthread_blis,60733596,138508,68816,24479,0.020283796
32,170,350,para_blis,93269185,131448,12596,856,0.033962518
32,170,400,blis,8713062,23741,10290,<not,0.003686932
32,170,400,pool_blis,76184343,2019819,1905945,82646,0.086811137
32,170,400,pthread_blis,68559623,153856,78170,33532,0.023427537
32,170,400,para_blis,104648364,147748,12591,4179,0.038035501
32,200,32,blis,1600732,8187,5930,<not,0.001533953
32,200,32,pool_blis,12105544,364483,350704,6134,0.019682563
32,200,32,pthread_blis,11691870,40680,26505,6205,0.004764181
32,200,32,para_blis,18025431,28488,4982,562,0.007081166
32,200,64,blis,2347637,9737,6289,<not,0.001492507
32,200,64,pool_blis,18961360,532821,512988,10366,0.023353659
32,200,64,pthread_blis,17662012,53173,31062,1688,0.006754893
32,200,64,para_blis,26920999,40916,5080,744,0.010252539
32,200,100,blis,3227622,11672,6549,<not,0.001863818
32,200,100,pool_blis,26127495,733369,697941,22431,0.032415310
32,200,100,pthread_blis,24701473,67594,36559,5985,0.008905407
32,200,100,para_blis,36928547,54536,5000,813,0.013602844
32,200,128,blis,3840453,12830,6945,<not,0.001926228
32,200,128,pool_blis,32278679,892284,846038,35777,0.039085844
32,200,128,pthread_blis,29600641,75636,38754,2660,0.010648516
32,200,128,para_blis,45463817,65440,5100,798,0.016692063
32,200,150,blis,4370356,14136,7301,<not,0.002100438
32,200,150,pool_blis,37173956,996801,941671,25484,0.043011504
32,200,150,pthread_blis,33837926,84735,43034,11135,0.011939771
32,200,150,para_blis,50587611,73758,5130,856,0.018565879
32,200,170,blis,4865414,15003,7197,<not,0.002566569
32,200,170,pool_blis,41508982,1038050,989637,41718,0.047672838
32,200,170,pthread_blis,37795553,91419,45234,13990,0.013115430
32,200,170,para_blis,56263901,81669,5337,755,0.020670983
32,200,200,blis,5520204,16473,8161,<not,0.002564161
32,200,200,pool_blis,46063031,1265513,1218471,33829,0.055109587
32,200,200,pthread_blis,43031037,101161,49282,13323,0.015224146
32,200,200,para_blis,87716515,188299,34609,124175,0.028156734
32,200,220,blis,6027185,17549,7859,<not,0.002574476
32,200,220,pool_blis,53909391,1457583,1385054,58261,0.072238079
32,200,220,pthread_blis,47084093,109510,52788,22204,0.020275407
32,200,220,para_blis,95580338,211755,24814,146974,0.030465214
32,200,256,blis,6826631,19303,8672,<not,0.003035810
32,200,256,pool_blis,57158639,1502335,1431687,55760,0.066598491
32,200,256,pthread_blis,53476035,120725,56917,25850,0.018187839
32,200,256,para_blis,108291131,271727,92243,58078,0.035028104
32,200,275,blis,7312729,20158,8580,<not,0.003139313
32,200,275,pool_blis,65536472,1731068,1645674,86365,0.075590368
32,200,275,pthread_blis,57362131,128750,60750,18924,0.019399534
32,200,275,para_blis,87885678,157613,24467,13702,0.033444664
32,200,300,blis,7893575,21507,8972,<not,0.003220076
32,200,300,pool_blis,70650739,1865488,1753330,49766,0.080548380
32,200,300,pthread_blis,62005906,138590,68397,27972,0.021145400
32,200,300,para_blis,94923270,153421,18407,22316,0.035222271
32,200,350,blis,9035518,24268,10055,<not,0.003723763
32,200,350,pool_blis,77513408,2125835,2019838,155487,0.093239368
32,200,350,pthread_blis,71141540,155569,75352,38651,0.024525664
32,200,350,para_blis,109616460,154439,13173,5496,0.039774414
32,200,400,blis,10184531,26311,10311,10844,0.004009015
32,200,400,pool_blis,81833275,2253067,2126447,148607,0.098881813
32,200,400,pthread_blis,80333935,171167,81207,67742,0.027168991
32,200,400,para_blis,122443955,173096,12880,7000,0.044484193
32,220,32,blis,1732896,8356,5972,<not,0.001298460
32,220,32,pool_blis,13353665,406078,389070,6382,0.017620602
32,220,32,pthread_blis,12749339,43345,26682,2009,0.004993610
32,220,32,para_blis,19804523,31106,4993,708,0.007940896
32,220,64,blis,2553582,10331,6389,<not,0.001648141
32,220,64,pool_blis,21397373,583241,549087,15732,0.025496697
32,220,64,pthread_blis,19310044,55944,30795,1139,0.007167531
32,220,64,para_blis,29589687,44557,4992,825,0.011068781
32,220,100,blis,3520537,12253,6823,<not,0.001905781
32,220,100,pool_blis,29356890,799666,756949,18280,0.034472370
32,220,100,pthread_blis,27043886,71548,38391,9080,0.010155576
32,220,100,para_blis,41845790,59800,5106,1489,0.014916934
32,220,128,blis,4194081,13520,7328,<not,0.002106529
32,220,128,pool_blis,35104044,972988,916236,33782,0.042575916
32,220,128,pthread_blis,32429870,80027,40974,1719,0.011614319
32,220,128,para_blis,50097656,71488,5204,830,0.018192454
32,220,150,blis,4776316,14719,7556,<not,0.002304630
32,220,150,pool_blis,40751722,1128682,1073384,58970,0.049298088
32,220,150,pthread_blis,37085450,89717,45582,12445,0.013179992
32,220,150,para_blis,55688460,80714,5104,795,0.020546083
32,220,170,blis,5320334,16141,7615,<not,0.002510342
32,220,170,pool_blis,44027003,1236119,1170584,57656,0.053745651
32,220,170,pthread_blis,41434817,96522,46370,12423,0.014432893
32,220,170,para_blis,62130625,89496,5152,856,0.023187058
32,220,200,blis,6039984,17363,8165,<not,0.002769629
32,220,200,pool_blis,52149527,1382445,1331350,46718,0.060357760
32,220,200,pthread_blis,47188313,107357,51871,13805,0.016147774
32,220,200,para_blis,71192420,103359,5237,848,0.026120912
32,220,220,blis,6597007,18603,8489,<not,0.002877356
32,220,220,pool_blis,55672799,1542108,1471149,86905,0.067244568
32,220,220,pthread_blis,51642742,116192,54768,23115,0.017399100
32,220,220,para_blis,102823278,218307,40519,92793,0.033034298
32,220,256,blis,7475679,20200,9272,<not,0.003347651
32,220,256,pool_blis,67466788,1548009,1455399,85234,0.073035695
32,220,256,pthread_blis,58668118,127771,60810,14445,0.019834509
32,220,256,para_blis,116280084,282320,97042,156942,0.037776851
32,220,275,blis,8009713,21673,9545,<not,0.003540103
32,220,275,pool_blis,72065190,1870182,1770433,129422,0.081693497
32,220,275,pthread_blis,62938434,136090,64128,28181,0.021449461
32,220,275,para_blis,127640871,263924,102211,185836,0.040499828
32,220,300,blis,8647639,23006,9872,<not,0.003795557
32,220,300,pool_blis,77757835,2035563,1934706,110811,0.088808805
32,220,300,pthread_blis,68040988,145771,71255,26367,0.023285716
32,220,300,para_blis,102248297,180149,21695,52995,0.038013335
32,220,350,blis,9902591,25868,10480,26986,0.004091384
32,220,350,pool_blis,84735864,2270681,2142235,149130,0.098840454
32,220,350,pthread_blis,78081767,163811,77124,47468,0.026249609
32,220,350,para_blis,119730284,175677,15016,15180,0.043427990
32,220,400,blis,11165460,28113,11786,35935,0.004667109
32,220,400,pool_blis,96769792,2540583,2410652,144328,0.111894492
32,220,400,pthread_blis,88183679,182142,86161,53479,0.030040273
32,220,400,para_blis,133142866,191619,13154,5540,0.047259691
32,256,32,blis,1987774,9271,6395,<not,0.001477909
32,256,32,pool_blis,15875430,469384,447383,8089,0.020551974
32,256,32,pthread_blis,14785460,51185,28026,304,0.005900306
32,256,32,para_blis,23006957,35486,4937,729,0.008681303
32,256,64,blis,2949626,11461,6458,<not,0.001849109
32,256,64,pool_blis,24326373,694975,651857,21024,0.030288870
32,256,64,pthread_blis,22483243,67208,34190,7660,0.008870458
32,256,64,para_blis,34393289,51163,5037,719,0.012886782
32,256,100,blis,4085129,14308,7133,<not,0.002247959
